accident_id,city,state,latitude,longitude,cluster,risk_score,hour,casualties,accident_severity,weather,visibility,road_type,traffic_density
0,Pune,Maharashtra,18.680827,73.930388,2,0.85,5,2,fatal,fog,low,highway,high
1,Mumbai,Maharashtra,18.817732,72.790846,1,0.1,4,3,major,clear,high,urban,low
2,Mumbai,Maharashtra,19.096889,72.819424,2,0.45,13,1,minor,fog,low,urban,medium
3,Chandigarh,Punjab,30.787805,76.847507,2,0.65,11,2,minor,fog,low,urban,high
4,Chennai,Tamil Nadu,12.965155,80.283313,1,0.1,16,1,minor,clear,high,highway,low
5,Delhi,Delhi,28.79949,77.049666,1,0.65,8,4,fatal,clear,high,urban,high
6,Bangalore,Karnataka,13.064327,77.530941,1,0.3,6,4,minor,clear,high,highway,high
7,Chandigarh,Punjab,30.786617,76.733947,1,0.1,14,0,major,clear,high,urban,low
8,Hyderabad,Telangana,17.422447,78.464881,3,0.45,3,0,minor,rain,low,urban,low
9,Bangalore,Karnataka,12.939033,77.498966,1,0.1,4,0,minor,clear,high,rural,low
10,Chandigarh,Punjab,30.651926,76.876892,2,0.45,13,3,minor,fog,low,highway,medium
11,Bangalore,Karnataka,12.936802,77.469957,0,0.25,2,0,minor,rain,medium,urban,low
12,Mumbai,Maharashtra,19.132036,72.76057,3,0.6,9,1,major,rain,low,highway,medium
13,Pune,Maharashtra,18.532452,73.841799,3,0.7,8,2,major,rain,low,highway,medium
14,Chandigarh,Punjab,30.721892,76.711388,0,0.6,18,0,major,rain,medium,urban,high
15,Chandigarh,Punjab,30.772308,76.768413,1,0.45,8,4,minor,clear,high,rural,high
16,Hyderabad,Telangana,17.382285,78.551704,3,0.45,11,3,major,rain,low,urban,low
17,Chennai,Tamil Nadu,13.161404,80.197819,2,0.65,21,5,fatal,fog,low,urban,medium
18,Hyderabad,Telangana,17.570411,78.310647,2,1.0,18,1,fatal,fog,low,urban,high
19,Chandigarh,Punjab,30.629812,76.765481,2,0.45,2,0,minor,fog,low,urban,low
20,Kolkata,West Bengal,22.459848,88.361745,2,0.65,1,5,fatal,fog,low,highway,low
21,Kolkata,West Bengal,22.692541,88.209956,2,0.45,0,1,minor,fog,low,urban,medium
22,Bangalore,Karnataka,12.911401,77.624696,3,0.45,3,1,major,rain,low,urban,medium
23,Chennai,Tamil Nadu,12.98416,80.153974,1,0.1,23,2,minor,clear,high,urban,medium
24,Delhi,Delhi,28.528171,77.003017,1,0.3,1,2,minor,clear,high,highway,high
25,Delhi,Delhi,28.631253,77.168852,3,0.65,14,0,major,rain,low,highway,high
26,Chennai,Tamil Nadu,12.964354,80.262971,1,0.3,13,1,major,clear,high,urban,high
27,Chennai,Tamil Nadu,13.171632,80.200311,0,0.45,5,1,minor,rain,medium,highway,high
28,Mumbai,Maharashtra,18.876038,72.816062,0,0.6,8,1,minor,rain,medium,rural,high
29,Delhi,Delhi,28.494878,77.089734,2,0.8,17,0,minor,fog,low,urban,high
30,Bangalore,Karnataka,13.181455,77.704682,1,0.45,17,1,minor,clear,high,rural,high
31,Mumbai,Maharashtra,19.277812,72.889938,1,0.1,7,1,minor,clear,high,rural,low
