accident_id,city,accident_severity,actual,prediction,residual
2,Mumbai,minor,0.45,0.4302,0.0198
6,Bangalore,minor,0.3,0.3484,-0.0484
8,Hyderabad,minor,0.45,0.5314,-0.0814
13,Pune,major,0.7,0.6713,0.0287
19,Chandigarh,minor,0.45,0.4754,-0.0254
23,Chennai,minor,0.1,0.1411,-0.0411
29,Delhi,minor,0.8,0.7973,0.0027
35,Chandigarh,minor,0.1,0.0978,0.0022
45,Bangalore,minor,0.6,0.6673,-0.0673
46,Chandigarh,major,0.45,0.466,-0.016
47,Delhi,major,0.25,0.2375,0.0125
49,Hyderabad,major,0.45,0.4631,-0.0131
51,Hyderabad,major,0.45,0.4856,-0.0356
55,Delhi,minor,0.45,0.4666,-0.0166
62,Chennai,major,0.45,0.5281,-0.0781
69,Mumbai,major,0.45,0.4776,-0.0276
77,Pune,minor,0.65,0.6898,-0.0398
100,Chennai,minor,0.8,0.8558,-0.0558
112,Chennai,major,0.45,0.5074,-0.0574
116,Chennai,minor,0.65,0.6786,-0.0286
117,Chandigarh,minor,0.65,0.6818,-0.0318
118,Pune,minor,0.45,0.4788,-0.0288
129,Bangalore,minor,0.45,0.5033,-0.0533
131,Chandigarh,minor,0.65,0.6808,-0.0308
152,Chandigarh,fatal,0.45,0.2758,0.1742
160,Pune,fatal,0.85,0.6782,0.1718
164,Chennai,minor,0.45,0.4788,-0.0288
168,Chennai,minor,0.45,0.4771,-0.0271
171,Delhi,minor,0.45,0.4528,-0.0028
183,Bangalore,minor,0.45,0.5944,-0.1444
189,Mumbai,major,0.6,0.7005,-0.1005
204,Chandigarh,minor,0.8,0.8033,-0.0033
211,Chennai,minor,0.45,0.4848,-0.0348
219,Bangalore,fatal,0.65,0.5215,0.1285
224,Delhi,minor,0.6,0.5962,0.0038
240,Mumbai,minor,0.8,0.7943,0.0057
254,Mumbai,major,0.65,0.6576,-0.0076
258,Chandigarh,minor,0.65,0.7175,-0.0675
261,Mumbai,major,0.1,0.1282,-0.0282
263,Kolkata,minor,0.25,0.2934,-0.0434
266,Chennai,major,0.45,0.496,-0.046
268,Chandigarh,minor,0.8,0.8222,-0.0222
288,Mumbai,major,0.45,0.4931,-0.0431
291,Delhi,fatal,0.65,0.467,0.183
292,Mumbai,fatal,0.45,0.3058,0.1442
296,Mumbai,minor,0.25,0.2394,0.0106
298,Mumbai,minor,0.3,0.311,-0.011
310,Chandigarh,minor,0.65,0.6667,-0.0167
312,Hyderabad,major,0.45,0.5422,-0.0922
323,Delhi,minor,0.1,0.1193,-0.0193
335,Pune,major,0.3,0.3286,-0.0286
337,Pune,major,0.45,0.5268,-0.0768
341,Hyderabad,minor,0.1,0.1052,-0.0052
348,Chennai,fatal,0.8,0.6304,0.1696
368,Chandigarh,major,0.65,0.7101,-0.0601
376,Chennai,minor,0.65,0.655,-0.005
382,Chennai,minor,0.45,0.4633,-0.0133
396,Kolkata,fatal,0.65,0.4322,0.2178
409,Mumbai,minor,0.1,0.0957,0.0043
416,Kolkata,minor,0.6,0.6688,-0.0688
426,Delhi,minor,0.45,0.4763,-0.0263
427,Chandigarh,minor,0.45,0.435,0.015
435,Bangalore,minor,0.3,0.308,-0.008
443,Kolkata,minor,0.8,0.8184,-0.0184
447,Mumbai,minor,0.8,0.87,-0.07
450,Bangalore,minor,0.45,0.4327,0.0173
463,Chennai,minor,0.6,0.6029,-0.0029
471,Pune,minor,0.6,0.6269,-0.0269
473,Kolkata,major,0.45,0.4909,-0.0409
476,Delhi,minor,0.45,0.4908,-0.0408
479,Delhi,fatal,0.65,0.5398,0.1102
484,Chennai,minor,0.45,0.4743,-0.0243
489,Pune,fatal,0.3,0.1288,0.1712
496,Pune,major,0.6,0.5861,0.0139
503,Mumbai,minor,0.6,0.634,-0.034
504,Bangalore,fatal,1.0,0.8193,0.1807
506,Chennai,major,0.8,0.8032,-0.0032
511,Pune,minor,0.1,0.2137,-0.1137
512,Bangalore,major,0.1,0.1397,-0.0397
514,Hyderabad,major,0.1,0.1811,-0.0811
517,Chennai,fatal,0.3,0.1458,0.1542
518,Delhi,fatal,0.65,0.4567,0.1933
536,Bangalore,fatal,0.65,0.5141,0.1359
548,Chandigarh,minor,0.6,0.6269,-0.0269
554,Pune,minor,0.65,0.6788,-0.0288
557,Hyderabad,major,0.45,0.5883,-0.1383
571,Mumbai,minor,0.1,0.1493,-0.0493
576,Hyderabad,fatal,0.65,0.4545,0.1955
580,Delhi,minor,0.65,0.6472,0.0028
581,Pune,minor,0.25,0.2529,-0.0029
583,Kolkata,minor,0.6,0.6599,-0.0599
588,Delhi,minor,0.45,0.4741,-0.0241
590,Delhi,minor,0.6,0.6344,-0.0344
592,Delhi,minor,0.1,0.1453,-0.0453
596,Hyderabad,fatal,0.45,0.2674,0.1826
602,Kolkata,fatal,0.8,0.6381,0.1619
612,Kolkata,major,0.45,0.4766,-0.0266
616,Delhi,fatal,0.85,0.6957,0.1543
627,Mumbai,major,0.45,0.4645,-0.0145
629,Chennai,minor,0.45,0.4691,-0.0191
632,Pune,major,0.45,0.5051,-0.0551
634,Chennai,minor,0.25,0.3056,-0.0556
641,Bangalore,minor,0.25,0.234,0.016
645,Pune,major,0.45,0.4515,-0.0015
648,Pune,minor,0.8,0.8438,-0.0438
652,Mumbai,major,0.8,0.8541,-0.0541
659,Chandigarh,fatal,0.65,0.4824,0.1676
670,Chandigarh,minor,0.65,0.6679,-0.0179
671,Chandigarh,minor,0.3,0.3413,-0.0413
673,Hyderabad,minor,0.45,0.4702,-0.0202
695,Mumbai,major,0.25,0.3172,-0.0672
696,Hyderabad,fatal,0.3,0.0955,0.2045
706,Chandigarh,fatal,0.65,0.482,0.168
710,Bangalore,major,0.1,0.1175,-0.0175
714,Kolkata,minor,0.1,0.1599,-0.0599
716,Mumbai,minor,0.1,0.1961,-0.0961
721,Bangalore,minor,0.65,0.6764,-0.0264
728,Chandigarh,minor,0.1,0.1357,-0.0357
740,Hyderabad,minor,0.1,0.1071,-0.0071
744,Pune,major,0.45,0.4881,-0.0381
746,Chandigarh,minor,0.1,0.135,-0.035
751,Hyderabad,minor,0.25,0.35,-0.1
760,Bangalore,major,0.25,0.239,0.011
773,Bangalore,major,0.45,0.5803,-0.1303
780,Kolkata,minor,0.45,0.4682,-0.0182
789,Kolkata,fatal,0.65,0.4903,0.1597
791,Pune,minor,0.65,0.6684,-0.0184
794,Bangalore,minor,0.45,0.4875,-0.0375
798,Delhi,fatal,0.85,0.6687,0.1813
802,Kolkata,minor,0.45,0.4775,-0.0275
811,Pune,minor,0.6,0.6132,-0.0132
824,Chandigarh,minor,0.45,0.4753,-0.0253
833,Bangalore,major,0.3,0.2987,0.0013
835,Bangalore,minor,0.45,0.4658,-0.0158
839,Delhi,minor,0.25,0.3829,-0.1329
842,Delhi,minor,0.8,0.8312,-0.0312
843,Chennai,minor,0.3,0.3868,-0.0868
849,Chandigarh,minor,0.8,0.8178,-0.0178
865,Pune,fatal,0.45,0.3067,0.1433
866,Delhi,major,0.3,0.3281,-0.0281
877,Pune,fatal,0.45,0.2223,0.2277
880,Pune,minor,0.1,0.1987,-0.0987
882,Chandigarh,major,0.25,0.2768,-0.0268
887,Hyderabad,major,0.8,0.8238,-0.0238
888,Bangalore,minor,0.6,0.638,-0.038
895,Hyderabad,fatal,0.65,0.4563,0.1937
900,Mumbai,major,0.45,0.4343,0.0157
903,Pune,minor,0.6,0.6386,-0.0386
917,Hyderabad,major,0.1,0.1457,-0.0457
925,Hyderabad,minor,0.3,0.3738,-0.0738
927,Pune,major,0.1,0.1672,-0.0672
933,Hyderabad,minor,0.1,0.1795,-0.0795
936,Chandigarh,fatal,0.3,0.1166,0.1834
946,Hyderabad,minor,0.1,0.1081,-0.0081
957,Chennai,minor,0.6,0.6317,-0.0317
967,Chennai,minor,0.65,0.6853,-0.0353
972,Mumbai,minor,0.1,0.1425,-0.0425
973,Chennai,minor,0.1,0.1126,-0.0126
978,Bangalore,fatal,0.8,0.6525,0.1475
993,Kolkata,major,0.45,0.479,-0.029
994,Pune,fatal,0.8,0.6012,0.1988
999,Chennai,fatal,0.3,0.101,0.199
1000,Kolkata,minor,0.8,0.8163,-0.0163
1003,Chennai,minor,0.6,0.6169,-0.0169
1005,Chandigarh,fatal,0.3,0.093,0.207
1007,Kolkata,minor,0.45,0.5123,-0.0623
1008,Kolkata,fatal,0.3,0.0984,0.2016
1011,Mumbai,major,0.1,0.1141,-0.0141
1020,Delhi,minor,0.6,0.8235,-0.2235
1025,Mumbai,minor,0.1,0.1156,-0.0156
1027,Hyderabad,minor,0.25,0.2771,-0.0271
1030,Bangalore,fatal,0.45,0.2461,0.2039
1039,Chandigarh,minor,0.45,0.4731,-0.0231
1042,Chandigarh,major,0.65,0.6627,-0.0127
1044,Delhi,minor,0.45,0.4502,-0.0002
1053,Hyderabad,fatal,0.65,0.4941,0.1559
1060,Hyderabad,major,0.1,0.1141,-0.0141
1061,Kolkata,major,0.65,0.6533,-0.0033
1066,Chennai,minor,0.3,0.4533,-0.1533
1074,Pune,minor,0.45,0.4447,0.0053
1075,Hyderabad,major,0.1,0.1176,-0.0176
1078,Delhi,major,0.3,0.3897,-0.0897
1079,Kolkata,minor,0.8,0.8269,-0.0269
1083,Chandigarh,minor,0.45,0.4857,-0.0357
1099,Delhi,fatal,0.3,0.1213,0.1787
1107,Delhi,major,0.45,0.468,-0.018
1109,Bangalore,major,0.8,0.9083,-0.1083
1113,Chennai,minor,0.8,0.7973,0.0027
1114,Chennai,minor,0.45,0.4594,-0.0094
1125,Delhi,minor,0.6,0.6463,-0.0463
1126,Delhi,major,0.45,0.5235,-0.0735
1128,Chandigarh,minor,0.1,0.1232,-0.0232
1131,Mumbai,major,0.25,0.349,-0.099
1139,Bangalore,minor,0.8,0.8115,-0.0115
1140,Delhi,minor,0.65,0.7028,-0.0528
1141,Delhi,minor,0.25,0.3418,-0.0918
1142,Kolkata,minor,0.45,0.4698,-0.0198
1144,Kolkata,fatal,0.65,0.4614,0.1886
1146,Pune,minor,0.6,0.5875,0.0125
1149,Hyderabad,major,0.25,0.3513,-0.1013
1153,Delhi,fatal,0.8,0.6096,0.1904
1154,Chennai,minor,0.25,0.3371,-0.0871
1159,Bangalore,minor,0.45,0.4631,-0.0131
1160,Bangalore,minor,0.1,0.1433,-0.0433
1162,Mumbai,minor,0.6,0.6498,-0.0498
1180,Mumbai,minor,0.6,0.6134,-0.0134
1183,Hyderabad,major,0.25,0.3075,-0.0575
1185,Mumbai,major,0.6,0.5799,0.0201
1202,Chennai,minor,0.3,0.3387,-0.0387
1205,Mumbai,minor,0.1,0.122,-0.022
1243,Delhi,major,0.65,0.627,0.023
1244,Chandigarh,minor,0.45,0.4875,-0.0375
1247,Mumbai,fatal,1.0,0.8564,0.1436
1252,Mumbai,minor,0.45,0.5505,-0.1005
1253,Chennai,minor,0.45,0.4553,-0.0053
1256,Mumbai,minor,0.25,0.2557,-0.0057
1260,Chandigarh,major,0.45,0.5129,-0.0629
1262,Hyderabad,minor,0.1,0.0847,0.0153
1265,Hyderabad,major,0.6,0.5998,0.0002
1267,Pune,major,0.1,0.0938,0.0062
1268,Chennai,major,0.45,0.4503,-0.0003
1269,Chennai,minor,0.1,0.1143,-0.0143
1284,Chennai,major,0.45,0.5029,-0.0529
1286,Chandigarh,minor,0.1,0.1364,-0.0364
1290,Chandigarh,major,0.45,0.5265,-0.0765
1303,Pune,major,0.45,0.5028,-0.0528
1321,Chennai,major,0.1,0.1141,-0.0141
1329,Kolkata,minor,0.45,0.4653,-0.0153
1330,Pune,minor,0.45,0.48,-0.03
1331,Kolkata,minor,0.45,0.4447,0.0053
1339,Chandigarh,major,0.45,0.4888,-0.0388
1346,Chandigarh,fatal,0.65,0.5222,0.1278
1349,Chandigarh,minor,0.45,0.5088,-0.0588
1353,Delhi,minor,0.45,0.4488,0.0012
1369,Bangalore,minor,0.8,0.8574,-0.0574
1373,Kolkata,minor,0.25,0.2709,-0.0209
1374,Chandigarh,major,0.3,0.454,-0.154
1377,Chennai,major,0.45,0.4503,-0.0003
1382,Kolkata,minor,0.45,0.4489,0.0011
1384,Pune,minor,0.65,0.6919,-0.0419
1398,Bangalore,minor,0.45,0.4226,0.0274
1399,Mumbai,minor,0.8,0.8419,-0.0419
1401,Chandigarh,major,0.3,0.2966,0.0034
1404,Bangalore,major,0.45,0.447,0.003
1412,Pune,major,0.65,0.7207,-0.0707
1429,Mumbai,major,0.1,0.0821,0.0179
1430,Delhi,major,0.45,0.4921,-0.0421
1433,Delhi,major,0.8,0.8613,-0.0613
1434,Mumbai,major,0.45,0.4458,0.0042
1436,Kolkata,major,0.45,0.4799,-0.0299
1451,Delhi,minor,0.45,0.4205,0.0295
1452,Mumbai,major,0.25,0.3452,-0.0952
1458,Pune,minor,0.45,0.4554,-0.0054
1466,Mumbai,fatal,0.3,0.0915,0.2085
1480,Chandigarh,major,0.65,0.7184,-0.0684
1487,Pune,major,0.45,0.4749,-0.0249
1493,Hyderabad,major,0.45,0.5099,-0.0599
1494,Mumbai,fatal,0.65,0.4638,0.1862
1506,Chandigarh,minor,0.6,0.5876,0.0124
1508,Pune,minor,0.45,0.4728,-0.0228
1531,Bangalore,major,0.1,0.108,-0.008
1537,Bangalore,minor,0.1,0.1327,-0.0327
1542,Hyderabad,minor,0.45,0.4883,-0.0383
1546,Chennai,minor,0.6,0.6002,-0.0002
1550,Pune,minor,0.65,0.6334,0.0166
1555,Delhi,minor,0.45,0.4746,-0.0246
1561,Mumbai,major,0.6,0.6512,-0.0512
1568,Pune,minor,0.45,0.4739,-0.0239
1572,Hyderabad,major,0.45,0.5213,-0.0713
1586,Pune,minor,0.25,0.2674,-0.0174
1588,Pune,major,0.45,0.4935,-0.0435
1589,Pune,minor,0.45,0.4739,-0.0239
1593,Pune,minor,0.1,0.0993,0.0007
1595,Pune,minor,0.1,0.137,-0.037
1598,Chennai,major,0.1,0.1911,-0.0911
1600,Chandigarh,fatal,0.3,0.1761,0.1239
1604,Chandigarh,major,0.45,0.428,0.022
1609,Chandigarh,major,0.65,0.6375,0.0125
1610,Kolkata,minor,0.65,0.708,-0.058
1613,Chennai,fatal,0.45,0.3005,0.1495
1619,Chennai,minor,0.45,0.4906,-0.0406
1620,Kolkata,minor,0.65,0.6588,-0.0088
1621,Kolkata,minor,0.1,0.1518,-0.0518
1622,Bangalore,minor,0.45,0.4868,-0.0368
1642,Mumbai,major,0.45,0.5092,-0.0592
1646,Chandigarh,major,0.4,0.3851,0.0149
1648,Chandigarh,minor,0.45,0.4708,-0.0208
1658,Chennai,minor,0.45,0.5001,-0.0501
1665,Pune,minor,0.1,0.1384,-0.0384
1670,Delhi,minor,0.25,0.2584,-0.0084
1678,Bangalore,minor,0.45,0.4798,-0.0298
1679,Delhi,minor,0.8,0.8314,-0.0314
1687,Chandigarh,minor,0.25,0.2874,-0.0374
1694,Pune,major,0.6,0.6219,-0.0219
1695,Chandigarh,major,0.1,0.1264,-0.0264
1700,Chandigarh,minor,0.1,0.1248,-0.0248
1714,Pune,minor,0.25,0.286,-0.036
1734,Chennai,minor,0.6,0.669,-0.069
1738,Kolkata,fatal,0.5,0.3145,0.1855
1740,Bangalore,minor,0.45,0.4645,-0.0145
1741,Mumbai,major,0.45,0.4494,0.0006
1746,Mumbai,minor,0.45,0.4613,-0.0113
1753,Mumbai,fatal,0.65,0.5417,0.1083
1754,Delhi,minor,0.1,0.1426,-0.0426
1766,Mumbai,major,0.45,0.4851,-0.0351
1778,Hyderabad,major,0.45,0.4736,-0.0236
1784,Chandigarh,minor,0.45,0.4932,-0.0432
1791,Chandigarh,minor,0.6,0.6532,-0.0532
1797,Hyderabad,minor,0.45,0.4807,-0.0307
1799,Kolkata,major,0.25,0.2879,-0.0379
1800,Hyderabad,major,0.8,0.9201,-0.1201
1804,Bangalore,minor,0.65,0.6618,-0.0118
1808,Mumbai,major,0.1,0.1368,-0.0368
1809,Kolkata,major,0.8,0.8316,-0.0316
1812,Delhi,fatal,0.65,0.4782,0.1718
1818,Kolkata,major,0.6,0.6425,-0.0425
1819,Hyderabad,minor,0.6,0.6343,-0.0343
1826,Mumbai,minor,0.25,0.2997,-0.0497
1829,Chandigarh,major,0.45,0.4581,-0.0081
1831,Chandigarh,major,0.1,0.186,-0.086
1837,Hyderabad,minor,0.6,0.6144,-0.0144
1845,Kolkata,major,0.45,0.4195,0.0305
1849,Pune,minor,0.65,0.6727,-0.0227
1856,Delhi,major,0.45,0.4357,0.0143
1857,Hyderabad,major,0.8,0.8035,-0.0035
1860,Kolkata,minor,0.1,0.178,-0.078
1861,Hyderabad,minor,0.6,0.5965,0.0035
1867,Mumbai,minor,0.45,0.5178,-0.0678
1870,Mumbai,major,0.65,0.6766,-0.0266
1878,Kolkata,major,0.1,0.2102,-0.1102
1884,Delhi,minor,0.3,0.2926,0.0074
1888,Chennai,minor,0.45,0.4532,-0.0032
1892,Bangalore,minor,0.45,0.4661,-0.0161
1894,Chennai,fatal,0.65,0.4468,0.2032
1899,Chandigarh,fatal,0.65,0.4544,0.1956
1901,Pune,major,0.45,0.5118,-0.0618
1902,Kolkata,minor,0.25,0.2479,0.0021
1911,Delhi,minor,0.8,0.8056,-0.0056
1914,Kolkata,minor,0.45,0.4408,0.0092
1915,Bangalore,minor,0.65,0.652,-0.002
1920,Pune,major,0.45,0.5136,-0.0636
1927,Bangalore,minor,0.45,0.4488,0.0012
1930,Kolkata,minor,0.1,0.1385,-0.0385
1935,Bangalore,minor,0.25,0.3489,-0.0989
