model,evaluation_slice,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
baseline_cleaned_lr,validation_default_0_50,0.5,0.9470647265429002,0.9970341077607514,0.937412858249419,0.9663046949856275,0.982769306496423,0.9961213364601114,0.04433915184826603,1499,18,404,6051
baseline_cleaned_lr,validation_tuned,0.39,0.9540893125940793,0.9916034232197642,0.9513555383423703,0.9710626185958254,0.982769306496423,0.9961213364601114,0.04433915184826603,1465,52,314,6141
baseline_cleaned_lr,test_default_0_50,0.5,0.9436973103171417,0.9955115511551155,0.9346802181457611,0.9641373138144858,0.9833129893793054,0.9962404900914568,0.045387234110759025,1862,34,527,7541
baseline_cleaned_lr,test_tuned,0.39,0.9503211561621838,0.9899081381808772,0.9483143282102132,0.9686649363803254,0.9833129893793054,0.9962404900914568,0.045387234110759025,1818,78,417,7651
engineered_full_lr,validation_default_0_50,0.5,0.9464375313597592,0.9965403624382208,0.9371030209140201,0.9659081836327346,0.9827393848288977,0.9961258487871794,0.04427830716262124,1496,21,406,6049
engineered_full_lr,validation_tuned,0.39,0.9538384345208228,0.9911247377763434,0.9515104570100698,0.9709136895352514,0.9827393848288977,0.9961258487871794,0.04427830716262124,1462,55,313,6142
engineered_full_lr,test_default_0_50,0.5,0.9434965877157768,0.9949874686716792,0.9349281110560238,0.9640232602722218,0.9832909588121223,0.996226409154098,0.04534155872643161,1858,38,525,7543
engineered_full_lr,test_tuned,0.39,0.9507226013649137,0.9908019173468066,0.947942488844819,0.9688984607588522,0.9832909588121223,0.996226409154098,0.04534155872643161,1825,71,420,7648
leakage_aware_lr,validation_default_0_50,0.5,0.7303060712493729,0.9351121892055791,0.7166537567776917,0.8114365900719172,0.8207854488786268,0.9547199708189664,0.17908388377437567,1196,321,1829,4626
leakage_aware_lr,validation_tuned,0.2,0.7893878575012544,0.8429063756461803,0.9093725793958172,0.8748789030479172,0.8207854488786268,0.9547199708189664,0.17908388377437567,423,1094,585,5870
leakage_aware_lr,test_default_0_50,0.5,0.7343436370935368,0.9359819848801673,0.7212444224095191,0.8147007350367519,0.8179146819544421,0.954134518825998,0.18095475185917703,1498,398,2249,5819
leakage_aware_lr,test_tuned,0.2,0.7874347651545563,0.8416398713826366,0.9084035696579078,0.8737482117310443,0.8179146819544421,0.954134518825998,0.18095475185917703,517,1379,739,7329
