feature,coefficient,abs_coefficient
cat__Brake_Condition_Worn Out,8.521547192505428,8.521547192505428
cat__Battery_Status_Weak,8.472970328885546,8.472970328885546
num__Reported_Issues,3.5940982045131404,3.5940982045131404
cat__Brake_Condition_Good,-3.2734701975144027,3.2734701975144027
cat__Battery_Status_New,-3.2262917844021133,3.2262917844021133
cat__Brake_Condition_New,-3.190062342980106,3.190062342980106
cat__Battery_Status_Good,-3.188663892472854,3.188663892472854
cat__Maintenance_History_Poor,2.5135187167752755,2.5135187167752755
cat__Maintenance_History_Good,-1.1221619422397782,1.1221619422397782
cat__Transmission_Type_Automatic,1.0637835107150015,1.0637835107150015
cat__Transmission_Type_Manual,0.9942311412953406,0.9942311412953406
num__Service_History,0.8677246866896451,0.8677246866896451
cat__Owner_Type_Second,0.729684052944467,0.729684052944467
cat__Tire_Condition_New,0.7069065672786259,0.7069065672786259
cat__Tire_Condition_Worn Out,0.7033991066094066,0.7033991066094066
num__Accident_History,0.6855560845333827,0.6855560845333827
cat__Owner_Type_First,0.6800427660185808,0.6800427660185808
cat__Maintenance_History_Average,0.6666578774748165,0.6666578774748165
cat__Owner_Type_Third,0.6482878330468741,0.6482878330468741
cat__Tire_Condition_Good,0.6477089781221775,0.6477089781221775
cat__Fuel_Type_Petrol,0.5726295751028138,0.5726295751028138
cat__Fuel_Type_Diesel,0.5480246057066028,0.5480246057066028
cat__Fuel_Type_Electric,0.5135017821776644,0.5135017821776644
cat__Fuel_Type_Other,0.4238586890230728,0.4238586890230728
cat__Vehicle_Model_Car,0.3824908434286365,0.3824908434286365
cat__Vehicle_Model_Truck,0.37331036388947275,0.37331036388947275
cat__Vehicle_Model_Bus,0.3709299807074791,0.3709299807074791
cat__Vehicle_Model_Van,0.36380068001600496,0.36380068001600496
cat__Vehicle_Model_Motorcycle,0.34224132305057026,0.34224132305057026
cat__Vehicle_Model_SUV,0.22524146091782052,0.22524146091782052
num__days_since_last_service,-0.05535939049770591,0.05535939049770591
num__Vehicle_Age,-0.029977996317728316,0.029977996317728316
num__Odometer_Reading,0.029533703154435702,0.029533703154435702
num__Fuel_Efficiency,-0.02133856838141545,0.02133856838141545
num__days_to_warranty_expiry,-0.019226914699310916,0.019226914699310916
num__Engine_Size,0.008751835911627707,0.008751835911627707
num__Insurance_Premium,-0.0063956985366650015,0.0063956985366650015
num__Mileage,0.0031045238405980617,0.0031045238405980617
