feature,coefficient,abs_coefficient
cat__Brake_Condition_Worn Out,5.842207117828127,5.842207117828127
cat__Battery_Status_Weak,5.795779684325665,5.795779684325665
num__condition_score,4.351269624327355,4.351269624327355
cat__Tire_Condition_New,3.781487427506999,3.781487427506999
num__Reported_Issues,3.4992558189250556,3.4992558189250556
cat__Brake_Condition_Good,-3.418245370260706,3.418245370260706
cat__Battery_Status_Good,-3.336577222020078,3.336577222020078
cat__Maintenance_History_Poor,2.564579683372474,2.564579683372474
cat__Tire_Condition_Worn Out,-2.3161672934521924,2.3161672934521924
cat__Maintenance_History_Good,-1.1210697793538196,1.1210697793538196
cat__Transmission_Type_Automatic,1.1017333976266344,1.1017333976266344
cat__Transmission_Type_Manual,1.0364089472150229,1.0364089472150229
num__Service_History,0.9002886763009762,0.9002886763009762
cat__Owner_Type_Second,0.7589536706182161,0.7589536706182161
cat__Owner_Type_First,0.7048383082360302,0.7048383082360302
cat__Maintenance_History_Average,0.6946324408225679,0.6946324408225679
cat__Owner_Type_Third,0.6743503659868857,0.6743503659868857
cat__Tire_Condition_Good,0.6728222107866091,0.6728222107866091
num__Accident_History,0.6407644460702384,0.6407644460702384
cat__Fuel_Type_Petrol,0.5864446168436996,0.5864446168436996
cat__Fuel_Type_Diesel,0.560377969555101,0.560377969555101
cat__Fuel_Type_Electric,0.5272044468122107,0.5272044468122107
cat__Fuel_Type_Other,0.4641153116300983,0.4641153116300983
cat__Vehicle_Model_Car,0.39831662681621466,0.39831662681621466
cat__Vehicle_Model_Bus,0.3839146557582865,0.3839146557582865
cat__Vehicle_Model_Truck,0.38086390108480395,0.38086390108480395
cat__Vehicle_Model_Van,0.3783420247388563,0.3783420247388563
cat__Vehicle_Model_Motorcycle,0.36215405711498055,0.36215405711498055
cat__Battery_Status_New,-0.32106011746363605,0.32106011746363605
cat__Brake_Condition_New,-0.28581940272603096,0.28581940272603096
num__issues_per_year,0.2769459975744796,0.2769459975744796
cat__Vehicle_Model_SUV,0.23455107932750463,0.23455107932750463
num__mileage_per_year,-0.17389907680269517,0.17389907680269517
num__accidents_per_year,0.10797806612435042,0.10797806612435042
num__days_since_last_service,-0.0566246576341873,0.0566246576341873
num__Mileage,0.056064634915197184,0.056064634915197184
num__service_per_year,-0.036565451121724796,0.036565451121724796
num__Odometer_Reading,0.02915655850252371,0.02915655850252371
num__days_to_warranty_expiry,-0.027124271538740412,0.027124271538740412
num__Fuel_Efficiency,-0.024912219524286586,0.024912219524286586
num__Vehicle_Age,0.01925346974632909,0.01925346974632909
num__Engine_Size,0.007985603814984695,0.007985603814984695
num__warranty_expired_flag,-0.007926336718903523,0.007926336718903523
num__Insurance_Premium,-0.00572311932515163,0.00572311932515163
